taskId,taskName,parentTaskId,status,startDate,endDate,assignee,priority,description,displayOrder
T-060,検索実装,T-059,done,2026-04-09,2026-04-12,佐藤,low,検索機能の実装を実施,60
T-061,フィルタ実装,,inProgress,2026-04-10,2026-04-14,鈴木,medium,フィルタ機能の実装を実施,61
T-062,並び替え実装,,inProgress,2026-04-11,2026-04-16,高橋,high,並び替え機能の実装を実施,62
T-063,コメント実装,,done,2026-04-12,2026-04-14,伊藤,critical,コメント機能の実装を実施,63
T-064,添付ファイル実装,,inProgress,2026-04-13,2026-04-16,中村,medium,添付ファイル機能の実装を実施,64
T-065,権限実装,,inProgress,2026-04-14,2026-04-18,田中,low,権限機能の実装を実施,65
T-066,監査ログ実装,T-065,done,2026-04-15,2026-04-20,佐藤,medium,監査ログ機能の実装を実施,66
T-067,ダッシュボード実装,,inProgress,2026-04-16,2026-04-18,鈴木,high,ダッシュボード機能の実装を実施,67
T-068,レポート実装,,inProgress,2026-04-17,2026-04-20,高橋,critical,レポート機能の実装を実施,68
T-069,バックアップ実装,,done,2026-04-18,2026-04-22,伊藤,medium,バックアップ機能の実装を実施,69
T-070,復元実装,,inProgress,2026-04-19,2026-04-24,中村,low,復元機能の実装を実施,70
T-071,認証単体テスト,,inProgress,2026-04-20,2026-04-22,田中,medium,認証機能の単体テストを実施,71
T-072,ユーザー管理単体テスト,T-071,done,2026-04-21,2026-04-24,佐藤,high,ユーザー管理機能の単体テストを実施,72
T-073,タスク一覧単体テスト,,inProgress,2026-04-22,2026-04-26,鈴木,critical,タスク一覧機能の単体テストを実施,73
T-074,タスク詳細単体テスト,,inProgress,2026-04-23,2026-04-28,高橋,medium,タスク詳細機能の単体テストを実施,74
T-075,ガント表示単体テスト,,done,2026-04-24,2026-04-26,伊藤,low,ガント表示機能の単体テストを実施,75
T-076,カンバン表示単体テスト,,inProgress,2026-04-25,2026-04-28,中村,medium,カンバン表示機能の単体テストを実施,76
T-077,CSV取込単体テスト,,todo,2026-04-26,2026-04-30,田中,high,CSV取込機能の単体テストを実施,77
T-078,CSV出力単体テスト,T-077,todo,2026-04-27,2026-05-02,佐藤,critical,CSV出力機能の単体テストを実施,78
T-079,通知単体テスト,,todo,2026-04-28,2026-04-30,鈴木,medium,通知機能の単体テストを実施,79
T-080,検索単体テスト,,inProgress,2026-04-29,2026-05-02,高橋,low,検索機能の単体テストを実施,80
T-081,フィルタ単体テスト,,todo,2026-04-30,2026-05-04,伊藤,medium,フィルタ機能の単体テストを実施,81
T-082,並び替え単体テスト,,todo,2026-05-01,2026-05-06,中村,high,並び替え機能の単体テストを実施,82
T-083,コメント単体テスト,,todo,2026-05-02,2026-05-04,田中,critical,コメント機能の単体テストを実施,83
T-084,添付ファイル単体テスト,T-083,inProgress,2026-05-03,2026-05-06,佐藤,medium,添付ファイル機能の単体テストを実施,84
T-085,権限単体テスト,,todo,2026-05-04,2026-05-08,鈴木,low,権限機能の単体テストを実施,85
T-086,監査ログ単体テスト,,todo,2026-05-05,2026-05-10,高橋,medium,監査ログ機能の単体テストを実施,86
T-087,ダッシュボード単体テスト,,todo,2026-05-06,2026-05-08,伊藤,high,ダッシュボード機能の単体テストを実施,87
T-088,レポート単体テスト,,inProgress,2026-05-07,2026-05-10,中村,critical,レポート機能の単体テストを実施,88
T-089,バックアップ単体テスト,,todo,2026-05-08,2026-05-12,田中,medium,バックアップ機能の単体テストを実施,89
T-090,復元単体テスト,T-089,todo,2026-05-09,2026-05-14,佐藤,low,復元機能の単体テストを実施,90
T-091,認証結合テスト,,todo,2026-05-10,2026-05-12,鈴木,medium,認証機能の結合テストを実施,91
T-092,ユーザー管理結合テスト,,inProgress,2026-05-11,2026-05-14,高橋,high,ユーザー管理機能の結合テストを実施,92
T-093,タスク一覧結合テスト,,todo,2026-05-12,2026-05-16,伊藤,critical,タスク一覧機能の結合テストを実施,93
T-094,タスク詳細結合テスト,,todo,2026-05-13,2026-05-18,中村,medium,タスク詳細機能の結合テストを実施,94
T-095,ガント表示結合テスト,,todo,2026-05-14,2026-05-16,田中,low,ガント表示機能の結合テストを実施,95
T-096,カンバン表示結合テスト,T-095,inProgress,2026-05-15,2026-05-18,佐藤,medium,カンバン表示機能の結合テストを実施,96
T-097,CSV取込結合テスト,,todo,2026-05-16,2026-05-20,鈴木,high,CSV取込機能の結合テストを実施,97
T-098,CSV出力結合テスト,,todo,2026-05-17,2026-05-22,高橋,critical,CSV出力機能の結合テストを実施,98
T-099,通知結合テスト,,todo,2026-05-18,2026-05-20,伊藤,medium,通知機能の結合テストを実施,99
T-100,検索結合テスト,,inProgress,2026-05-19,2026-05-22,中村,low,検索機能の結合テストを実施,100
